Familia,Tàxon,Noms populars
Solanàcies,Nicotiana tabacum L.,"['Tabac', 'Tabaco', 'Caliquenya']"
Papilionàcies,Ceratonia siliqua L.,"['Garrova', 'Garrofa', 'Garrover']"
Lauràcies,Cinnamomum verum J.Presl,"['Canyella', 'Canyella en rama', ""Canyella d'Orlanda""]"
Labiades,Salvia officinalis L.,"['Sàlvia', 'Salvi', 'Sàuvia']"
Boraginàcies,Borago officinalis L.,"['Borratja', 'Borraja', 'Borratxa']"
Ericàcies,Arctostaphylos uva-ursi (L.) Spreng.,"['Boixerola', 'Boixeroler', 'Farigola']"
Oleàcies,Olea europaea L.,"['Olivera', 'Oli', 'Oliu']"
Cucurbitàcies,Bryonia cretica L. subsp. dioica (Jacq.) Tutin,"['Tuca', 'Carbassina', 'Carbassera borda']"
Gencianàcies,Centaurium erythraea Rafn,"['Centaura', 'Santa Aura', 'Herba de Santa Aura']"
Pinàcies,Pinus pinea L.,"['Pi pinyer', 'Pi pinyoner', 'Pi']"
Compostes,Achillea ptarmica L. subsp. pyrenaica (Sibth. ex Godr. in Gren. et Godr.) Rouy,"['Camamilla de muntanya', 'Camamilla', 'Camamilla de Núria']"
Labiades,Marrubium vulgare L.,"['Marreu', 'Malrubí', 'Manrubio']"
Gramínies,Avena sativa L.,"['Civada', 'Civa']"
Fagàcies,Castanea sativa Mill.,"['Castanyer', 'Castanya', 'Podrit de castanyer']"
Asparagàcies,Asparagus acutifolius L.,"['Espàrrec', 'Espàrgol', 'Esparreguera']"
Plantaginàcies,Globularia alypum L.,"['Cogullada', 'Escorxata', 'Cossiada']"
Ericàcies,Erica arborea L.,"['Bruc', 'Bruc de bou', 'Bruc de fer escombres']"
Cariofil·làcies,Silene saxifraga L.,"['Herba prima', 'Salsufragi', 'Herba fina']"
Crucíferes,Rorippa nasturtium-aquaticum (L.) Hayek,"['Créixem', 'Creixen', 'Gréixol']"
Solanàcies,Hyoscyamus niger L.,"['Herba queixalera', 'Beleño', 'Herba del mal de queixal']"
Compostes,"Santolina chamaecyparissus L. subsp. magonica O.Bolòs, Molinier et P.Monts.","['Camamil·la', 'Camamil·la de Maó', 'Manzanilla']"
Asfodelàcies,Aloe vera (L.) Burm.f.,"['Aloe vera', 'Àloe', 'Atzavara']"
Euforbiàcies,Euphorbia lathyris L.,"['Cagamutxo*', 'Cagamuja', 'Herba talpera']"
Labiades,Lavandula stoechas L.,"['Timó', 'Tomanyí', ""Cap d'ase""]"
Melantiàcies,Veratrum album L.,"['Baladre', 'Veladre', 'Velaire']"
Escrofulariàcies,Verbascum pulverulentum Vill.,"['Gamó', 'Sabatot', 'Cua de guilla']"
Ramnàcies,Rhamnus alaternus L.,"['Garrigó', 'Aladern', 'Coscollina']"
Umbel·líferes,Molopospermum peloponnesiacum (L.) Koch,"['Coscoll', 'Angélique sauvage', 'Coscull']"
Rosàcies,Rubus idaeus L.,"['Gerd', 'Jordó', 'Gers']"
Poligalàcies,Polygala calcarea F.W.Schultz,"['Herba blava', 'Angelet', 'Flor blava']"
Ranunculàcies,Clematis vitalba L.,"['Ridorta', 'Ridolta', 'Vidalba']"
Rubiàcies,Coffea arabica L.,['Cafè']
Umbel·líferes,Foeniculum vulgare Mill. subsp. piperitum (Ucria) Cout.,"['Fenoll', 'Fonoll', 'Hinojo']"
Papilionàcies,Trifolium alpinum L.,"['Regalíssia', 'Regalissi', 'Reglissi']"
Compostes,Inula viscosa (L.) Ait.,"['Olivarda', 'Juliverda', 'Matavinya']"
Compostes,Lactuca sativa L.,"['Enciam', 'Lletuga', 'Lechuga']"
Labiades,Satureja montana L. subsp. montana,"['Sajolida', 'Alfàbrega borda', 'Hisop']"
Solanàcies,Solanum melongena L.,"['Albergínia', 'Albergínia', 'Esbergínia']"
Compostes,Sonchus tenerrimus L.,"['llicsó', 'Llitsó', 'Lletsó']"
Ulmàcies,Ulmus minor Mill.,"['Om', 'Almudella', 'Olmisser']"
Crassulàcies,Umbilicus rupestris (Salisb.) Dandy subsp. rupestris,"['Barretol', 'Barretet', 'Barret de capellà']"
Euforbiàcies,Ricinus communis L.,"['Oli de regina', 'Oli de ricí', 'Oli de recino']"
Oleàcies,Olea europaea L. subsp. europaea var. sylvestris (Mill.) Brot.,"['Ullastre', 'Olivera borda', 'Olivera']"
Umbel·líferes,Apium graveolens L.,"['Àpit', 'api', 'Apio']"
Pinàcies,Pinus mugo Turra subsp. uncinata (Ramond ex DC. in Lam. et DC.) Domin,"['Pi negre', 'Pi', 'Brot de pi']"
Rutàcies,Ruta graveolens L.,"['Ruda', 'Ruda de jardí']"
Santalàcies,Viscum album L.,"['Vesc', 'Visc', 'Vesquercí']"
Papilionàcies,Glycyrrhiza glabra L.,"['Regalèssia', 'Regalíssia', 'Regalíz']"
Rutàcies,Ruta chalepensis L. subsp. chalepensis,['Ruda']
Convolvulàcies,Convolvulus arvensis L.,"['Corretjola', 'Correjola', 'Corriola']"
