Familia,Tàxon,Noms populars
Boraginàcies,Pulmonaria affinis Jord. in F.W.Schultz,"['Pulmonària', 'Herba pulmonària', 'Herba anginera']"
Fagàcies,Quercus faginea Lam. subsp. faginea,['Roure']
Labiades,Salvia officinalis L. subsp. lavandulifolia (Vahl) Gams var. adenostachys (O.Bolòs et J.Vigo) O.Bolòs et J.Vigo subvar. mariolensis (Figuerola) O.Bolòs et J.Vigo,"['Sàlvia', 'Sàlvia de Mariola']"
Labiades,Salvia pratensis L. subsp. pratensis,"['Tarro', 'Madrona']"
Apocinàcies,Vinca major L.,"['Vincapervinca', 'Herba de vincapervinca', 'Vinca']"
Solanàcies,Atropa belladonna L.,"['Belladona', 'Herba queixalera']"
Compostes,Bellis perennis L.,"['Margarida', 'Margaridoia', 'Margarita']"
Compostes,Centaurea collina L.,"['Cap de burro', 'Rotabou']"
Ciperàcies,Cyperus rotundus L.,"['Jonc', 'Jonça', 'Serrana']"
Plantaginàcies,Globularia vulgaris L.,"['Cepillo', 'Zurrón', 'Botó blau']"
Papilionàcies,Lens culinaris Medic.,"['Llentia', 'Lenteja', 'Lentilla']"
Nictaginàcies,Mirabilis jalapa L.,"['Galán de noche', 'Noche', 'Santjoan']"
Papaveràcies,Papaver somniferum L. subsp. setigerum (DC.) Arcang.,"['Cascall', 'Roella', 'Dormidera']"
Hidrangeàcies,Philadelphus coronarius L.,"['Xeringuilla', 'Xeringuillo']"
Salicàcies,Populus tremula L.,"['Trèmol', 'Albar', 'Àlber']"
Grossulariàcies,Ribes nigrum L.,"['Groselha nera', 'Cassis', 'Greselha nera']"
Rosàcies,Rosa arvensis Huds.,"['Barsa', 'Barsa emparradora', 'Gavarrera emparradora']"
Poligonàcies,Rumex scutatus L.,"['Badola', 'Madola', 'Verola']"
Crassulàcies,Sempervivum tectorum L. subsp. tectorum,"['Matafoc', 'Consolta']"
Gramínies,Setaria viridis (L.) Beauv.,"['Panissola', 'Xerreix', 'Cua de mula']"
Amaril·lidàcies,Allium ampeloprasum L.,"['All de bruixa', 'Calabruixa', 'Porro']"
Euforbiàcies,Euphorbia cyparissias L.,"['Lletdetresa', 'Lleterola', 'Lletetresa']"
Rubiàcies,Galium aparine L.,"['Rèvola', 'Herba apegalosa', 'Herba remuguera']"
Compostes,Lactuca serriola L.,"['Enciam bord', 'Enciam de la Mare de Déu', 'Enciam de bosc']"
Crucíferes,Lepidium latifolium L. subsp. latifolium,"['Herba del ronyó', 'Herba de la pedra', 'Lepidium']"
Litràcies,Lythrum salicaria L.,"['Tapaculs', 'Estroncaculs', 'Herba de les cagarrines']"
Solanàcies,Nicotiana rustica L.,"['Tabac pota', 'Tabac de pota']"
Oxalidàcies,"Oxalis debilis Humb., Bonpl. et Kunth.","['Pa-i-tu-vi', 'Pa-i-vi', 'Trèvol']"
Gramínies,Panicum miliaceum L.,['Mill']
Passifloràcies,Passiflora caerulea L.,"['Passiflora', 'Claucrist', 'Clavell de Crist']"
Compostes,Phagnalon saxatile (L.) Cass.,"['Mansamilla', 'Herba de capxerigany', ""Herba de s'escolà""]"
Solanàcies,Physalis alkekengi L.,"['Bossa', 'Physalis', 'Alquerquengi']"
Pinàcies,Pinus pinaster Ait.,"['Pi', 'Pi bord', 'Pi meli']"
Poligalàcies,Polygala vulgaris L.,"['Herba enflamacionera', 'Herba desenfeccionera', 'Angelet']"
Mucoràcies,Rhizopus sp.,"['Florit del pa', 'Florit']"
Salicàcies,Salix babylonica L.,"['Desmai', 'Ploraire']"
Rosàcies,Sorbus aria (L.) Crantz,['Moixera']
Compostes,Taraxacum sp.,"['Dent de lleó', 'Xicoia', 'Llum']"
Papilionàcies,Trifolium incarnatum L. subsp. incarnatum,"['Farroig', 'Herba fe']"
Papilionàcies,Trifolium repens L.,"['Trèvol', 'Trefoló', 'Trèfola']"
Ranunculàcies,Aconitum napellus L.,"['Tora', 'Acònit', 'Tòra blua']"
Labiades,Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys,"['Retorçó', 'Torçó', 'Herba de rabato']"
Umbel·líferes,Apium nodiflorum (L.) Lag.,"['Àpit bord', 'Api', 'Créixec']"
Papilionàcies,Arachis hypogaea L.,"['Cacauet', 'Cacau', 'Cacauet']"
Rosàcies,Crataegus azarolus L.,"['Atzerola', 'Atzerolera', 'Atzeroler']"
Ericàcies,Erica sp.,['Bruc']
Geraniàcies,Erodium cicutarium (L.) L'Hér. in Ait.,"['Cubripeus', 'Agulles', 'curripeus']"
Compostes,Inula montana L.,"['Àrnica', 'Àrnica borda', 'Àrnica vera']"
Asparagàcies,Muscari neglectum Guss. ex Ten.,"['Calabuixa', 'All de bruixa', 'Alls de serp']"
Amaril·lidàcies,Narcissus poeticus L.,"['Narcís', 'Lliri', 'Lliri blanc']"
Ranunculàcies,Ranunculus bulbosus L.,"['Gata rabiosa', 'Herba de gata rabiosa', 'Pixallits']"
Rosàcies,Rosa agrestis Savi,"['Gavarrera', 'Roser silvestre', 'Espullabelitres']"
Poligonàcies,Rumex obtusifolius L.,"['Paradella', 'Santa Maria', 'Cama-roja']"
Escrofulariàcies,Scrophularia alpestris Gay ex Benth. in DC.,['Setge']
Labiades,Thymus sp.,"['Tomillo', 'Frigola blanca', 'Farigola']"
Orquidàcies,Vanilla planifolia Andr.,['Vainilla']
Adoxàcies,Viburnum tinus L.,"['Marfull', 'Llorer bord']"
Actinidiàcies,Actinidia chinensis Planch.,"['Kiwi', 'Kiwi']"
Plantaginàcies,Antirrhinum majus L. subsp. majus,"['Gossos', 'Gossets', 'Boques de conill']"
Compostes,Artemisia abrotanum L.,"['Broida', 'Abrótano macho', 'Artemisa']"
Asparagàcies,Asparagus officinalis L.,"['Espàrrec', 'Espàrrec verd', 'Espàrec']"
Crucíferes,Brassica oleracea L. subsp. oleracea var. acephala (DC.) Thell.,"[""Col d'hivern"", 'Col de copà', 'Col geganta']"
Boraginàcies,Cynoglossum creticum Mill.,"['Besneula', 'Berneula', 'Llapassa']"
Driopteridàcies,Dryopteris filix-mas (L.) Schott,"['Falguera', 'Falguera de jardí', 'Foguera']"
Crucíferes,Eruca vesicaria (L.) Cav. subsp. sativa (Mill.) Thell. in Hegi,"['Rúcula', 'Ruca', 'Ruqueta']"
Cistàcies,Helianthemum syriacum (Jacq.) Dum.Cours.,"['Romer blanc', 'Botja rasparella', 'Romer blau']"
Gramínies,Hyparrhenia hirta (L.) Stapf in Oliver,"['Llistó', 'Fenal', 'Albelatge']"
Malvàcies,Lavatera arborea L.,"['Malva', 'Vauma', 'Malví']"
Papilionàcies,Lupinus angustifolius L.,"['Llobí', 'Lluís', 'Llobí bord']"
Musàcies,Musa sp.,"['Plátano', 'Plàtan', 'Platanero']"
Papilionàcies,Ononis tridentata L.,"['Roanyo', 'Arnall', 'Ruganyo']"
Papilionàcies,Pisum sativum L. subsp. sativum,"['Pèsol', 'Xítxero', 'Pèsol']"
Plantaginàcies,Plantago major L. subsp. major,"['Plantatge', 'Llantén', 'Llantén  de fulla ampla']"
Labiades,Prunella grandiflora (L.) Scholler subsp. grandiflora,"['Herba melera', 'Herba mel', 'Melica']"
Crucíferes,Rorippa nasturtium-aquaticum (L.) Hayek subsp. nasturtium-aquaticum,"['Créixec', 'Gréixol', 'Créixen']"
Primulàcies,Samolus valerandi L.,"['Dolceta', 'Enciam de la Mare de Déu', 'Enciamet de la Mare de Déu']"
Timeleàcies,Thymelaea tinctoria (Pourr.) Endl.,"['Bufalaga', 'Bufulaga']"
Verbenàcies,Verbena cf. Pulchella Sweet,['Berbena de Sant Joan']
Malvàcies,Althaea rosea (L.) Cav.,"['Malva reial', 'Vauma', 'Vara de San José']"
Compostes,Catananche caerulea L.,"['Cigala', 'Pell de serp', 'Blauet']"
Compostes,Chrysanthemum segetum L.,"['Goit', 'Engreixaporcs', 'Goig']"
Gramínies,Digitaria sanguinalis (L.) Scop.,"['Xerreix', 'Forcadella', 'Xereix']"
Compostes,Doronicum grandiflorum Lam.,['Àrnica']
Gramínies,Hordeum murinum L.,"['Blat bord', 'Blat boig', 'Blat de Sant Joan']"
Orobancàcies,Orobanche crenata Forsk.,"['Frare', 'Frare de les faves', 'Matatrigo']"
Pinàcies,Pinus nigra Arnold,"['Pino negral', 'Pi carrasser', 'Pi negral']"
Rubiàcies,Rubia peregrina L.,"['Herba remuguera', 'Remuguera', 'Garança']"
Salicàcies,Salix purpurea L.,"['Sarga', 'Salanca', 'Sàlic']"
Labiades,Satureja montana L. subsp. obovata (Lag.) O.Bolòs et J.Vigo,"[""Herba d'olives"", 'Herba olives', 'Saboritja']"
Gramínies,Setaria verticillata (L.) Beauv.,"['Xerreix', 'Blat del dimoni', 'Borrissol']"
Solanàcies,Solanum nigrum L. subsp. nigrum,"['Morena', 'Herba morena', 'Blet']"
Escrofulariàcies,Verbascum boerhavii L.,"['Turba', 'Bouillon-blanc', 'Cua de llop']"
Apocinàcies,Vinca minor L.,"['Vinca', 'Vrincapervrinca']"
Asfodelàcies,Aloe maculata All.,"['Bàlsam de pita', 'Bàlsam', 'Bàlsam de jardí']"
Amaril·lidàcies,Allium roseum L.,"['All de bruixa', 'Calabruixa', 'Calabuix']"
Aràcies,Arisarum vulgare Targ.-Tozz.,"['Rapa de frare', 'Rapa', 'Frare llec']"
Compostes,Chrysanthemum coronarium L.,"['Bolitx', 'Margalidera', 'Margalida borda']"
Cariofil·làcies,Dianthus seguieri Vill.,"['Clavell de muntanya', 'Clavell de pastor', 'Clavell de bosc']"
Papaveràcies,Fumaria capreolata L.,"['Fadristern', 'Fumària', 'Sabateta de la Mare de Déu']"
Rosàcies,Geum urbanum L.,"['Herba de les set sagnies', 'Setsagnies', 'Herba de Sant Benet']"
Plantaginàcies,Globularia cordifolia L.,"['Herba de la roca', 'Te negre', 'Botó blau']"
Gutíferes,Hypericum androsaemum L.,"['Fulla de la Mare de Déu', 'Fulla de bàlsam']"
Compostes,Leucanthemum vulgare Lam.,"['Margarida', 'Margarita', 'Margarita borda']"
Papaveràcies,Papaver somniferum L. subsp. somniferum,['Cascall']
Oleàcies,Phillyrea angustifolia L.,"['Mata', 'Olivereta', 'Mat']"
Papilionàcies,Retama sphaerocarpa (L.) Boiss.,"['Ginesta', 'Retama', 'Ginesta borda']"
Orobancàcies,Rhinanthus mediterraneus (Sterneck) Senn.,"['Esquellada', 'Sorolla', 'Herba esquellera']"
Rutàcies,Ruta montana (L.) L.,"['Ruda borda', 'Ruda de bosc', 'Ruda de monte']"
Salicàcies,Salix alba L. subsp. alba,"['Salze', 'Saula', 'Sàlic']"
Salicàcies,Salix sp.,"['Salze', 'Satze', 'Boga de riu']"
Labiades,Satureja montana L. subsp. innota (Pau) F.Q.,"['Saboritja', 'Ajedrea', 'Hierba ajedrea']"
Compostes,Scolymus hispanicus L.,"['Fuell', 'Cadernina', 'Card cadalina']"
Ranunculàcies,Aconitum anthora L.,"['Tora blanca', 'Tora groga', 'Tora']"
Compostes,Artemisia campestris L. subsp. glutinosa (Gay ex Bess.) Batt. in Batt. et Trab.,"['Hierba  pansera', 'Herba pansera', 'Botja bovera']"
Asfodelàcies,Asphodelus fistulosus L.,"['Cibolla', 'Gamona', 'Gamonita']"
Crucíferes,Brassica oleracea L. subsp. oleracea var. botrytis L.,"['Colflori', 'Coliflor', 'Col de flor']"
Compostes,Centaurea jacea L.,"['Herba de la diabetis', 'Herba per al sucre', 'Caps de ruc']"
Papilionàcies,Coronilla scorpioides (L.) Koch,"['Coleta', 'Herba enamorada', 'Hierba alacranera']"
Cucurbitàcies,Cucumis melo L. subsp. melo,"['Meló', 'Meló']"
Convolvulàcies,Cuscuta epithymum (L.) L.,"['Herba fina', 'Herba prima', 'Tinya']"
Timeleàcies,Daphne mezereum L.,"['Senet', 'Tei', 'Herba de fit']"
Ranunculàcies,Delphinium staphisagria L.,['Caparràs']
Rutàcies,Dictamnus albus L.,"['Gitam', 'Lletimó']"
Aràcies,Dracunculus vulgaris Schott.,['Herba escurçonera']
Boraginàcies,Echium sabulicola Pomel,"['Llengua bovina', 'Herba bovina']"
Papilionàcies,Genista balansae (Boiss.) Rouy,"['Bàlec', 'Ginesta', 'Bala']"
Cannabàcies,Humulus lupulus L.,"['Lúpulo', 'Llúpol', 'Herba cervesera']"
Gutíferes,Hypericum ericoides L.,"['Corazón de peña', 'Corazón de piedra', 'Cor de penya']"
Papilionàcies,Lathyrus cicera L.,"['Pedrerol', 'Pedrol', 'Veça']"
Salicàcies,Populus sp.,"['Pollancre', 'Poll', 'Clop']"
Rosàcies,Pyrus spinosa Forsk.,"['Saramenya', 'Saramenyera']"
Salicàcies,Salix atrocinerea Brot.,"['Sarga', 'Salze', 'Gatell']"
Amarantàcies,Salsola vermiculata L.,"['Salada', 'Barrilla', 'Barrillera']"
Compostes,Sonchus sp.,"['Lletissó', 'Llecsó', 'Alitxó']"
Compostes,Stevia rebaudiana (Bertoni) Bertoni,"['Estèvia', 'Estevia', 'Herba dolça']"
Compostes,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,"['Barbada', 'Barballa', 'Bufador']"
Violàcies,Viola odorata L.,"['Violeta', 'Violer']"
Papilionàcies,Acacia dealbata Link.,"['Mimosa', 'Mimiosa', 'Acacia']"
Crucíferes,Alyssum spinosum L.,"['Bufalaga vera', 'Botgeta blanca', 'Argilagueta']"
Amarantàcies,Amaranthus sp.,"['Blet', 'Amaranto', 'Cresta de gall']"
Apocinàcies,Araujia sericifera Brot.,['Miraguano']
Compostes,Artemisia chamaemelifolia Vill.,"['Herba de Santa Maria', 'Brotònica', 'Santa Maria']"
Compostes,Artemisia herba-alba Asso,"['Botja pudenta', 'Botja', 'Espernallac bord']"
Gramínies,Briza maxima L.,"['Arracades de la Mare de Déu', 'Belluguets', 'Herba tremblante']"
Papilionàcies,Calicotome spinosa (L.) Link subsp. spinosa,['Argelaga']
Aizoàcies,Carpobrotus edulis (L.) N.E.Br. in Phillips,"['Calaguala', 'Bàlsam', 'Bálsamo']"
Gencianàcies,Centaurium pulchellum (Swartz) Druce subsp. pulchellum,"['Centaura', 'Herba de Santa Aura', 'Santa Aura']"
Compostes,Cichorium endivia L. subsp. pumilum (Jacq.) Cout.,"['Escarola', 'Cama-roja']"
Rutàcies,Citrus deliciosa Ten.,"['Mandarina', 'Mandariner', 'Clementí']"
Cariofil·làcies,Dianthus sp.,"['Clavell', 'Clavell de bosc', 'Clavellet']"
Crucíferes,Eruca vesicaria (L.) Cav.,"['Ruca', 'Rúcula']"
Crucíferes,Erucastrum nasturtiifolium (Poiret) O.E.Schulz,"['Citró', 'Garbiana groga', 'Garriana']"
Euforbiàcies,Euphorbia helioscopia L. subsp. helioscopia,"['Lletetresa', 'Herba lletera', 'Lletresa']"
Ginkgoàcies,Ginkgo biloba L.,"['Ginkgo', 'Ginkgo biloba', 'Bingo']"
Iridàcies,Gladiolus italicus Mill.,"['Gladiol', 'Espaseta', 'Clavell de moro']"
Gramínies,Hordeum distichon L.,"['Ordi', 'Pàmula', 'Ordi cerveser']"
Gramínies,Hordeum murinum L. subsp. leporinum (Link) Arcang.,"['Maragall', 'Cua de mula', 'Dimoni']"
Papilionàcies,Onobrychis supina (Vill.) DC. in Lam. et DC. subsp. supina,"['Trepadella borda', 'Trepadella']"
Plantaginàcies,Plantago albicans L.,"['Herba fam', 'Herbafam', 'Orella de rata']"
Rosàcies,Rosa ×damascena Mill.,"['Roser', ""Roser de tot l'any""]"
Rubiàcies,Rubia tinctorum L.,"['Herba felera', 'Rubia tintórea', 'Rúbia']"
Escrofulariàcies,Scrophularia nodosa L.,['Setge']
Compostes,Solidago virgaurea L.,"[""Vara d'or"", 'Cercavinya', 'Vara de oro']"
Rosàcies,Sorbus aucuparia L.,"['Moixera', 'Sorbier']"
Labiades,Stachys officinalis (L.) Trevisan,"['Herba de brutònica', 'Betònica', 'Brotònica']"
Tropeolàcies,Tropaeolum majus L.,"['Caputxina', 'Canari', ""Flor d'esperó""]"
Verbenàcies,Verbena chamaedryfolia Juss.,"['Berbena', 'Berbena de jardí']"
Compostes,Achillea ageratum L.,"['Alè de bou', 'Herba de Sant Joan', 'Herba del fàstic']"
Umbel·líferes,Aethusa cynapium L.,"['Julivertassa', 'Givertassa']"
Labiades,Ajuga iva (L.) Schreb.,"['Viveta', 'Iva']"
Boraginàcies,Alkanna tinctoria Tausch,"['Pota de colom', 'Peu de colom', 'Herba de peu de colom']"
Asfodelàcies,Aloe saponaria Haw.,"['Pitera', 'Curalotodo', 'Atzavara']"
Compostes,Artemisia dracunculus L.,"['Estragó', 'Estragón']"
Rubiàcies,Asperula cynanchica L. subsp. brachysiphon (Lange in Willk. et Lange) O.Bolòs et J.Vigo,"['Herba prima', 'Ensaurina']"
Aspleniàcies,Asplenium adiantum-nigrum L. subsp. onopteris (L.) Heufler,"['Foguera', 'Cama negra', 'Falguera']"
Gramínies,Avena sterilis L. subsp. sterilis,['Cugula']
Compostes,Carlina acaulis L.,"['Carolina', 'Cardo dorado', 'Carlina']"
Compostes,Conyza canadensis (L.) Cronq.,"['Cànem', 'Cànem bord', 'Canemera']"
Caprifoliàcies,Dipsacus fullonum L. subsp. fullonum,"['Caps de burro', 'Card', 'Caticatac']"
Compostes,Eupatorium cannabinum L. subsp. cannabinum,['Lladrecà']
Amaril·lidàcies,Galanthus nivalis L.,"['Herba de neu', 'Llàgrimes de Sant Josep', 'Lliri de neu']"
Papilionàcies,Genista triflora Rouy,"['Molleró', 'Delarbre', 'Baladre']"
Malvàcies,Gossypium sp.,['Cotó']
Oleàcies,Jasminum officinale L.,"['Gessamí', 'Gesamí', 'Llessamí']"
Cupressàcies,Juniperus sabina L.,"['Savina', 'Savina xinxera', 'Sivina']"
Oxalidàcies,Oxalis articulata Savigny in Lam.,"['Trèvol', 'Herba de jardí']"
Geraniàcies,Pelargonium sp.,"['Gerani', 'Geroni', 'Vaumapoma']"
Plantaginàcies,Plantago subulata L. subsp. holosteum (Scop.) O.Bolòs et J.Vigo,"['Herba de les set sagnies', 'Herba de set sagnies', 'Plantatge']"
Boraginàcies,Pulmonaria longifolia (Bast.) Boreau,"['Fulla de la Mare de Déu', 'Pulmonària', 'Herba de la freixa']"
Fagàcies,Quercus cerrioides Willk. et Costa,['Roure']
Crucíferes,Raphanus raphanistrum L.,"['Ravenissa borda', 'Rave', 'Ravenissa']"
Grossulariàcies,Ribes alpinum L.,"['Cirerola', 'Grosella', 'Groseille']"
Escrofulariàcies,Scrophularia auriculata L.,"['Setge', 'Creixen', 'sabonera']"
Labiades,Sideritis scordioides L. var. cavanillesii (Lag.) Wk.,"['Herba de Sant Antoni', 'Rabo de gato', 'Rabo  de gat']"
Compostes,Tanacetum corymbosum (L.) Schultz Bip.,"['Camamirla', 'Camamilla', 'Camamilla borda']"
Papilionàcies,Vigna unguiculata (L.) Walp.,"['Monget', 'Escorxatites', 'Fesol menut']"
Apocinàcies,Vincetoxicum hirundinaria Medic.,"['Herba del verí', 'Herba del vri', 'Pebrotera borda']"
Aràcies,Zantedeschia aethiopica (L.) Sprengel,"['Lliri', 'Lliri de jardí', ""Lliri d'aigo""]"
Compostes,Andryala ragusina L.,"['Lonça', 'Jonça', 'Blanquilla']"
Compostes,Anthemis cotula L.,"['Camamilla borda', 'Camamilla de bosc', 'Camamil·la pudenta']"
Teàcies,Camellia sinensis L.,"['Te', 'Te verd']"
Compostes,Carlina acanthifolia All.,"['Carolina', 'Cardina', 'Carlina']"
Compostes,Centaurea scabiosa L. subsp. scabiosa,"['Botja', 'Caps de burro', 'Clavell de ruc']"
Compostes,Cichorium endivia L. subsp. endivia,['Escarola']
Papilionàcies,Coronilla minima L. subsp. lotoides (Koch) Nyman,"['Espernallac', 'Herba del cascat']"
Ciperàcies,Cyperus eragrostis Lam.,"['Serrana', 'Paraigüet', 'Castanyola']"
Citinàcies,Cytinus hypocistis (L.) L.,"['Arnetes de mel', 'Pinyeta', 'Tenalletes de mel']"
Citinàcies,Cytinus hypocistis (L.) L. subsp. hypocistis,"['Magraneta', 'Magraneta d’esterperol']"
Cistàcies,Fumana ericoides (Cav.) Gandg.,"['Herba de setge', 'Botja gran', 'Falsa herba de setge']"
Rubiàcies,Galium verum L.,"['Herba de Sant Joan', 'Santjoan']"
Compostes,Inula salicina L.,['Àrnica']
Cupressàcies,Juniperus communis L. subsp. hemisphaerica (J. et C.Presl) Nyman,"['Ginebre', 'Gayubica', 'Gayubina']"
Cucurbitàcies,Lagenaria siceraria (Molina) Standley,"['Carabassa', 'Carabassa', 'Carbassa']"
Papilionàcies,Lathyrus latifolius L.,"['Pèsol bord', 'Llapissot', 'Veçot']"
Plumbaginàcies,Limonium virgatum (Willd.) Fourr.,['Patarra']
Caprifoliàcies,Lonicera etrusca Santi,"['Lligabosc', 'Xuclamel']"
Licoperdàcies,Lycoperdon perlatum Pers.,"['Pet de llop', 'Peolobo', 'Farinosa']"
Malvàcies,Malva nicaeensis All.,['Malva']
Labiades,Marrubium supinum L.,"['Manrubio', 'Marrube blanc', 'Malroig blanc']"
Cariofil·làcies,Paronychia capitata (L.) Lam. subsp. capitata,"['Herba blanca', 'Sanguinària']"
Compostes,Picris hieracioides L.,"['Gafallosa', 'Pedaç']"
Plantaginàcies,Plantago afra L.,"['Llavor de puça', 'Saragatona', 'Gra de puça']"
Plantaginàcies,Plantago sempervirens Crantz subsp. sempervirens,"['Botja negra', 'Botja blanca', 'Botja blava']"
Asparagàcies,Polygonatum odoratum (Mill.) Druce,"['Baladre', 'Segell de Salomó', 'Arracadetes']"
Ranunculàcies,Ranunculus acris L.,['Gata rabiosa']
Poligonàcies,Rumex acetosa L.,"['Vinagrella', 'Acedera', 'Agrella']"
Compostes,Staehelina dubia L.,"['Botja blava', 'Zing-zing']"
Ranunculàcies,Trollius europaeus L.,"['Gata rabiosa', 'Absolva', 'Cloclou']"
Cariofil·làcies,Agrostemma githago L.,"['Niella', 'Blauet', 'Clavell de blat']"
Primulàcies,Anagallis arvensis L.,"['Alfàbrega borda', 'Marruc', 'Anagall']"
Compostes,Antennaria dioica (L.) Gaertn.,"['Llunària', 'Pota de gat']"
Plantaginàcies,Antirrhinum barrelieri Boreau,"['Conejitos', 'Conillet', 'Gossets']"
Papilionàcies,Astragalus baeticus L.,"['Cafè bord', 'Cafè', 'Cafetera']"
Umbel·líferes,Bupleurum rigidum L.,"['Herba del cucut', 'Fenoll']"
Buxàcies,Buxus balearica Lam.,['Boix']
Campanulàcies,Campanula rotundifolia L. subsp. rotundifolia,"['Salsufràgia', 'Salsufragi']"
Crucíferes,Cardamine heptaphylla (Vill.) O.E.Schulz,"['Canuguera', 'Herba canuguera']"
Papilionàcies,Chamaespartium sagittale (L.) P.Gibbs,"['Ijol', 'Jajol', 'Iaiol']"
Compostes,Dahlia sp.,"['Dàlia', 'Daliera']"
Timeleàcies,Daphne laureola L.,"['Senet', 'Lloreret', 'Marxívol']"
Compostes,Echinops ritro L.,"['Card', 'Espines blaves', 'Panical blau']"
Geraniàcies,Erodium foetidum (L. et Nath.) L'Hér. subsp. crispum (Lap.) O.Bolòs et J.Vigo,"['Herba terciana', ""Herba de l'aliacrà"", 'Herba de Penyagolosa']"
Papilionàcies,Genista tricuspidata Desf. subsp. sparsiflora (Ball) Maire,"['Gatova', 'Gatosa']"
Boraginàcies,Heliotropium europaeum L.,"['Herba berruguera', 'Mira-sol', 'Blet blanc']"
Compostes,Jasonia tuberosa (L.) DC.,['Herba del mal estrany']
Caprifoliàcies,Knautia arvensis (L.) Coult.,"['Escabiosa', 'Escupiosa', 'Escapiosa']"
Plumbaginàcies,Limonium sp.,"['Trencaolles', 'Giraolles', 'Sempreviva']"
Santalàcies,Osyris alba L.,"['Ginestra', 'Assots', 'Ginestó']"
Platanàcies,Platanus orientalis L. var. acerifolia Aiton,"['Plataner', 'Platana', 'Plàtan']"
Poligonàcies,Polygonum persicaria L.,"['Presseguera borda', 'Mala herba']"
Grossulariàcies,Ribes petraeum Wulfen in Jacq.,"['Brosella', 'Grosellera', 'Grosella']"
Rosàcies,Rubus saxatilis L.,['Barsa']
Amarantàcies,Salsola kali L.,"['Herba del nuguet', 'Mil nudos', 'Espantallops']"
Labiades,Salvia sclarea L.,"['Tàrrec', 'Sàlvia romana']"
Saxifragàcies,Saxifraga geranioides L.,"['Herba del nord', 'Herba de les set sagnies', 'Herba de les set sangrías']"
Timeleàcies,Thymelaea hirsuta (L.) Endl.,"['Bufalaga', 'Cagamutxo*', 'Plomanina']"
Timeleàcies,Thymelaea tinctoria (Pourr.) Endl. subsp. tinctoria,"['Bufalaga', 'Bufalaga tintòria']"
Labiades,Thymus ×citriodorus (Pers.) Schreber,"['Farigoleta', 'Serpol', 'Farigola de llimona']"
Aceràcies,Acer opalus Mill. subsp. opalus,"['Blada', 'Auró', 'Baladre']"
Simarubàcies,Ailanthus altissima (Mill.) Swingle,"['Cornissa', 'Irlando']"
Umbel·líferes,Anethum graveolens L.,"['Comí', 'Anet', 'Eneldo']"
Aristoloquiàcies,Aristolochia rotunda L.,['Herba felera']
Asfodelàcies,Asphodelus albus Mill.,"['Albó', 'Aubiçon']"
Begoniàcies,Begonia sp.,"['Begònia', 'Tamaia']"
Saxifragàcies,Bergenia sp.,"[""Hortènsia d'hivern"", ""Viola d'hivern""]"
Boraginàcies,Cynoglossum cheirifolium L.,"['Besneula', 'Llengua de bou', 'Bisneula']"
Timeleàcies,Daphne laureola L. subsp. laureola,"['Senet', 'Marxívol', 'Senet bord']"
Euforbiàcies,Euphorbia characias L.,"['Lletrera', 'Bambollera', 'Lletrera borda']"
Oleàcies,Fraxinus angustifolia Vahl subsp. angustifolia,"['Freixa', 'Freixe', 'Freixera']"
Hidrangeàcies,Hydrangea sp.,['Hortènsia']
Gutíferes,Hypericum balearicum L.,['Estepa joana']
Compostes,Lactuca perennis L.,"['Xicoina', 'Xicòria', 'Enciam silvestre']"
Labiades,Lamium amplexicaule L.,"['Mataporc', 'Heura terrera']"
Crucíferes,Lepidium graminifolium L. subsp. graminifolium,"[""Herba de l'empatx""]"
Oleàcies,Ligustrum vulgare L.,"['Olivereta', 'Ullastre', 'Escanyacabres']"
Licoperdàcies,Lycoperdon molle Pers.,"['Pet de llop', 'Pet pudent']"
Marcanciàcies,Marchantia paleacea Bertol.,"['Herba freixurera', 'Freixurera']"
Papilionàcies,Medicago sativa L. subsp. falcata (L.) Arcang.,"['Melga', 'Alfals silvestre', 'Alfals bord']"
Amaril·lidàcies,Pancratium maritimum L.,['Lliri']
Cariofil·làcies,Paronychia sp.,"['Floreta blanca', 'Sanguinària']"
Passifloràcies,Passiflora edulis Sims,"['Passiflora', 'Flor de la pasión', 'Pasiflora']"
Gramínies,Phragmites australis (Cav.) Steudel,"['Sisca', 'Canya xiula', 'Canyet']"
Anacardiàcies,Pistacia vera L.,"['Pistatxo', 'Pistacho', 'Festuc']"
Euforbiàcies,Poinsettia pulcherrima (Willd.) Graham,"['Flor de Nadal', 'Nadala']"
Poligonàcies,Polygonum convolvulus L.,"['Corretjola', 'Cresta de gall', 'Fesol bord']"
Pinàcies,Pseudotsuga menziesii (Mirbel) Franco,"['Douglas', 'Pi Douglas']"
Resedàcies,Reseda lutea L.,"['Gabarro', 'Prebedà', ""Preber d'ase""]"
Labiades,Salvia aethiopis L.,"['Oropesa', 'Orpesa']"
Labiades,Salvia pratensis L.,"['Madrona', 'Sàlvia', 'Sàlvia silvestre']"
Crucíferes,Sisymbrium officinale (L.) Scop.,"['Herba del constipat', 'Herba dels cantaires', 'Herba de les cantaires']"
Compostes,Sonchus asper (L.) Hill,"['Llepsó', 'Llicsó', 'Llicsó bord']"
Plantaginàcies,Veronica persica Poiret in Lam.,"['Blauet', 'Borrissol pelut']"
